"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[36-0-35-从报告详情页面-逻辑代码页面-点击逻辑代码-逻辑代码函数列表-Camera.Render-[""click""]-[""""""By.XPATH,'//*[@id=""uwa-main-app""]/div[2]/div[3]/div[2]/div[2]/div/div[4]/div[2]/table/tbody/tr[2]/td[1]/div'""""""]-get_attr-[""""""(By.XPATH,'//*[@id=""uwa-main-app""]/div[2]/div[3]/div[2]/div[2]/div/div[4]/div[2]/table/tbody/tr[2]')|class""""""]-el-table__row current-row hover-row-None]",""
"passed","Wed May 06 16:31:17 CST 2020","Wed May 06 16:31:18 CST 2020","1179","","testrun","TestClass","","","test_run[3-0-2-从测试首页-跳转到性能诊断与优化-[""perform_click""]-[""(By.LINK_TEXT,'功能')|(By.LINK_TEXT,'性能诊断与优化')""]-get_url-[""none""]-https://test.uwa4d.com/#feature-None1]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[95-0-94-项目页-粒子系统-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section.overflow-visible > div.report-content > div.main-chart.el-row > div.pa-column.el-col.el-col-7 > ul > li:nth-child(5) > span.name'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-粒子系统-None]",""
"skipped","Thu Jun 04 18:03:06 CST 2020","Thu Jun 04 18:03:06 CST 2020","0","","testrun","TestClass","","","test_run[121-0-120-项目页-Userdata数量峰值-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div.main-chart.el-row > div.data-column.overview.el-col.el-col-7 > ul > li:nth-child(5) > span.name'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-Userdata数量峰值-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[99-0-98-项目页-点击MEDIUM-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section.overflow-visible > div.report-content > div.report > div > div > div > div.task-list.el-col.el-col-14 > div.task-filter-container > div.btn-group > button.el-button.btn-outline.el-button--default.el-button--small.btn-outline-medium > span'""]-get_url-[""none""]-https://test.uwa4d.com/u/got/resource.html/report?dataKey=20170721104021oes4f925317&project=233&engine=1-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[76-1-75-从消息通知页面-跳转到报告详情页面-资源统计页面-[""back""]-[""none""]-get_url-[""none""]-https://test.uwa4d.com/u/gpm/assetSummary?dataKey=20200119011251.v516ce9859&project=6821-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[85-0-84-项目页-动画片段-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div.main-chart.el-row > div.data-column.asset.el-col.el-col-7 > ul > li:nth-child(3) > span.name'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-动画片段-None]",""
"skipped","Thu Jun 04 18:05:43 CST 2020","Thu Jun 04 18:05:43 CST 2020","0","","testrun","TestClass","","","test_run[24-0-23-从项目报告页-点击场景检测-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-side-menu > ul > li > ul > li:nth-child(2) > a > span'""]-get_text-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.plugin-container.report-content > div.plugin-header > h3'""]-场景检测-None]",""
"skipped","Thu Jun 04 18:03:06 CST 2020","Thu Jun 04 18:03:06 CST 2020","0","","testrun","TestClass","","","test_run[130-0-129-项目页-点击内存具体分配-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section.overflow-visible > div.report-content > div.main-chart.el-row > div.pa-column.el-col.el-col-7 > ul > li:nth-child(6) > span.name'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-Function数量峰值-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","1","","testrun","TestClass","","","test_run[85-1-84-从账户设置页面-跳转到报告详情页面-运行日志页面-[""back""]-[""none""]-get_url-[""none""]-https://test.uwa4d.com/u/gpm/log?dataKey=20200119011251.v516ce9859&project=6821-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[29-0-28-报告详情页面-点击运行信息-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-side-menu > ul > li:nth-child(2) > a > span'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-FPS均值-None]",""
"skipped","Thu Jun 04 18:05:44 CST 2020","Thu Jun 04 18:05:44 CST 2020","0","","testrun","TestClass","","","test_run[37-0-36-从项目报告页-项目资源检测-点击Texture进行排序-[""click""]-[""By.CSS_SELECTOR,'body > div.el-select-dropdown.el-popper > div.el-scrollbar > div.el-select-dropdown__wrap.el-scrollbar__wrap > ul > li:nth-child(2) > span'""]-get_text-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.plugin-container.report-content > div.rule-table-container > div > div.el-table__body-wrapper.is-scrolling-none > table > tbody > tr:nth-child(1) > td.el-table_4_column_12 > div > div > span:nth-child(1)'""]-包含无效透明通道的纹理-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[30-0-29-报告详情页面-点击FPS小于25帧数百分比（%）-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div > div.widget-container.el-row > div:nth-child(2) > div > div.el-row > div.el-col.el-col-16 > p'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-FPS小于25帧数百分比-None]",""
"skipped","Thu Jun 04 18:05:43 CST 2020","Thu Jun 04 18:05:43 CST 2020","0","","testrun","TestClass","","","test_run[33-0-32-从项目报告页-点击项目资源检测-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-side-menu > ul > li > ul > li:nth-child(1) > a > span'""]-get_text-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.plugin-container.report-content > div.plugin-header > h3'""]-项目资源检测-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","1","","testrun","TestClass","","","test_run[33-0-32-报告详情页面-点击硬件信息-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-side-menu > ul > li:nth-child(3) > a > span'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-温度均值-None]",""
